Año;Variación
2007;-0.40143427871411674
2008;0.29976903671157373
2009;0.5031180924535015
2010;-0.42481142167644137
2011;0.38305695067981027
2012;0.11159157293026034
2013;-0.612940247572709
2014;0.5540527193404721
2015;0.3422385027718686
2016;-0.8780400337728711
2017;0.7274658774967975
2018;-0.2586534352520218
2019;0.18508583412275392
2020;-0.10629997817694914
2021;0.09372628917553882
2022;-0.22738261528178505
2023;0.2815609728533133
2024;-0.04924399847512895
2025;0.14810952993627424
2026;-0.10798859414834894
2027;0.2400123564495562
2028;0.0690590125540389
2029;-0.19309228271969658
2030;0.224905767376109
2031;-0.30264204946599094
2032;-0.02481446079547034
2033;0.2169412373483297
2034;0.09866890859476385
2035;0.32183595709006596
2036;-0.15259863935270346
2037;0.10777097106445233
2038;0.12532526603380845
2039;-0.3611605726486786
2040;0.41717797776424526
2041;0.026828083482417497
2042;0.11574346274245428
2043;-0.19901941626082476
2044;0.023795465005445493
2045;0.1587998195459157
2046;0.2754707501755611
2047;-0.3746536052852818
2048;0.20907694621859996
2049;0.04215445833954412
2050;0.26545849736900706
2051;-0.0998291544001475
2052;0.043427797953555114
2053;-0.034821286213727376
2054;0.32732887353461493
2055;-0.3322225896051698
2056;0.3212865881575091
2057;0.02627530251957566
2058;0.2509646877148377
2059;-0.17809342926059202
2060;0.1671818462926158
2061;-0.004920792379570216
2062;0.15014998182820882
2063;0.03894398017137668
2064;-0.05650431615720919
2065;-0.07620757786834709
2066;0.04320789179178597
2067;0.24932159953621813
2068;0.01052343150810664
2069;0.18030667021420754
2070;0.07806264767658178
2071;-0.07466153372276807
2072;-0.21266202503842635
2073;0.3583021162923785
2074;0.019335566972788598
2075;0.22772979108705016
2076;-0.21029539067775715
2077;0.12393538376039004
2078;0.1259139602752768
2079;0.2358404448849747
2080;-0.10764735676587023
2081;0.13419606175991206
2082;0.163038624941926
2083;-0.06878522210875815
2084;-0.07357175395613069
2085;0.1134701891398997
2086;0.014701434696014815
2087;0.05805904631882797
2088;0.3092950418564868
2089;-0.20739959853413126
2090;-0.22147800408317053
2091;0.5856226585018938
2092;-0.17400701110354788
2093;0.08603751437883389
2094;0.14495389918940305
2095;0.006137397333294103
2096;-0.3718803242582851
2097;0.607152787662379
2098;-0.2595829047408742
2099;0.2635238982343857
2100;-0.2661313606979938
