Año;Avg_Temp
2006;13.16895436005527
2007;13.057675936501894
2008;13.202913539755766
2009;13.189148247747998
2010;12.880428907475252
2011;13.252933896938634
2012;13.251709964413752
2013;13.16309598469407
2014;13.109579013207895
2015;13.515155640584773
2016;13.201747952272902
2017;13.22292251454303
2018;13.46520701803237
2019;13.678857131080164
2020;13.399952297617604
2021;13.317865674566807
2022;13.461372500402264
2023;13.657195454595808
2024;13.228638293250864
2025;13.594584178408397
2026;13.656216696746913
2027;13.743114036134678
2028;13.709609479740344
2029;13.65200706379474
2030;13.577785233343047
2031;14.084302016755645
2032;13.883880639077466
2033;13.8078682419535
2034;13.795496172820794
2035;13.826172124741856
2036;14.232959620916098
2037;13.929332041611502
2038;14.374050060815081
2039;14.56967335762356
2040;14.06807128802923
2041;14.366730660809846
2042;14.645463268242175
2043;14.335370248495904
2044;14.383676561420982
2045;14.462607452577664
2046;14.058465421764616
2047;14.337559684060338
2048;14.381678253051987
2049;14.102255910596462
2050;13.997390302780776
2051;14.384061932713344
2052;14.306765696003144
2053;14.443631776240675
2054;14.538593339775144
2055;14.992026421181865
2056;14.656407431116538
2057;14.407545926581257
2058;14.311823634804938
2059;14.517579011979842
2060;14.586001923877745
2061;14.724860856026254
2062;14.952019001783949
2063;14.821299304145677
2064;14.514290926276864
2065;14.619637963629673
2066;14.800251244057243
2067;14.732210637231832
2068;14.325230077842416
2069;14.647312748676056
2070;14.573323199157475
2071;14.997091247299966
2072;15.09489854252124
2073;14.43446548224401
2074;14.88065527585094
2075;15.024239854198221
2076;14.66977545367765
2077;14.908447253108118
2078;15.109543536000292
2079;14.929655910165664
2080;15.184990300858493
2081;14.91570063612183
2082;14.782048234398893
2083;14.945504046639403
2084;14.992088913970987
2085;14.528538034104113
2086;15.262034749650553
2087;14.955667124088947
2088;14.90819295088949
2089;14.773169411888514
2090;14.854906407433852
2091;14.757187830479893
2092;15.135350892646086
2093;15.055391857445308
2094;15.197367620520723
2095;15.031799895165321
2096;15.118597592810108
2097;14.912378723315214
2098;15.019867441230925
2099;14.808772409188034
2100;15.090496183655056
