Año;Temp_Min
2006;-1.2531818181818182
2007;-1.6682937062937062
2008;-1.7860795454545455
2009;-2.0829318181818186
2010;-1.398636363636364
2011;-0.7756136363636362
2012;-2.898761363636364
2013;-1.7698295454545454
2014;-1.6422386363636359
2015;-1.5025909090909093
2016;-1.5626022727272728
2017;-2.399772727272727
2018;-1.42225
2019;-2.383125
2020;-1.1289545454545458
2021;-1.3786022727272729
2022;-1.7072840909090905
2023;-1.6612840909090907
2024;-2.6481931818181823
2025;-1.9283636363636367
2026;-1.580534090909091
2027;-1.5860909090909094
2028;-0.7495909090909092
2029;-0.9325795454545452
2030;-1.8345795454545455
2031;-0.9355340909090911
2032;-0.9181931818181818
2033;-1.3926704545454542
2034;-2.895886363636364
2035;-0.6235795454545452
2036;-1.8515340909090912
2037;-0.7710909090909092
2038;-0.6099772727272729
2039;-1.6962159090909095
2040;-1.1922937062937062
2041;-0.6076477272727272
2042;-0.19943181818181827
2043;-1.9039545454545455
2044;-1.4129659090909095
2045;-1.506761363636364
2046;-1.2112954545454546
2047;-0.28681818181818153
2048;-0.9831136363636366
2049;-0.6656477272727273
2050;-0.8569545454545453
2051;-1.5600340909090908
2052;-2.1433977272727276
2053;-0.35951136363636366
2054;-1.741715909090909
2055;-0.20840909090909115
2056;-0.5666363636363635
2057;-0.7132159090909088
2058;-1.24775
2059;-0.7664545454545455
2060;0.03410227272727254
2061;-0.7282499999999998
2062;-0.21103409090909095
2063;-0.5722272727272725
2064;-1.3765681818181823
2065;-0.9061258741258741
2066;-0.6175113636363634
2067;-0.018704545454545432
2068;-0.24310227272727292
2069;-1.3620000000000008
2070;0.004954545454545729
2071;-0.00461363636363621
2072;-0.061068181818182216
2073;-2.4729886363636364
2074;-0.26994318181818194
2075;-0.685443181818182
2076;-0.6242386363636363
2077;-0.9302954545454544
2078;-1.927465909090909
2079;-0.7356590909090912
2080;-0.6574545454545455
2081;0.10173426573426557
2082;-0.8458295454545454
2083;0.8425227272727274
2084;-0.1428068181818182
2085;-1.2847613636363635
2086;-0.9349090909090911
2087;-0.7479318181818185
2088;-0.32479545454545433
2089;-0.7978750000000002
2090;-1.2509204545454544
2091;-0.5658522727272728
2092;-0.25930681818181817
2093;-0.11513636363636373
2094;0.011977272727272847
2095;-0.5449318181818184
2096;-0.3257159090909091
2097;-0.7285314685314683
2098;-0.9712867132867133
2099;-0.9156136363636361
2100;0.18791608391608408
